Field,startYear,primaryTitle,Action Type,Domestic ,DW Adj,Worldwide ,InflAdj ,PROI,ROI,Profitability
1,2019,Avengers: Endgame,Super Hero,858373000,1939427564,2797800564,859310090,2.26,1939427564,Profitable
2,2021,Spider-Man: No Way Home,Super Hero,804617772,1081688244,1886306016,804617772,1.34,1081688244,Profitable
3,2018,Black Panther,Super Hero,700059566,636434755,1336494321,704670273,0.91,636434755,Loss
4,2018,Avengers: Infinity War,Super Hero,678815482,1369544272,2048359754,683286273,2.02,1369544272,Profitable
5,2015,Jurassic World,Science Fiction,652306625,1017673342,1669979967,709564064,1.56,1017673342,Profitable
6,2022,Top Gun: Maverick,Contemporary Fiction,620087020,602500000,1222587020,620087020,0.97,602500000,Loss
7,2015,Avengers: Age of Ultron,Super Hero,459005868,936311111,1395316979,499298192,2.04,936311111,Profitable
8,2019,Captain Marvel,Super Hero,426829839,702897549,1129727388,427295810,1.65,702897549,Profitable
9,2018,Jurassic World: Fallen Kingdom,Science Fiction,417719760,890614245,1308334005,420470937,2.13,890614245,Profitable
10,2017,Wonder Woman,Super Hero,412563408,405494813,818058221,421762146,0.98,405494813,Loss
11,2022,Doctor Strange in the Multiverse of M…,Super Hero,411214927,543785073,955000000,411214927,1.32,543785073,Profitable
12,2016,Captain America: Civil War,Super Hero,408084349,743834172,1151918521,432616584,1.82,743834172,Profitable
13,2019,Spider-Man: Far From Home,Super Hero,390532085,742000747,1132532832,390958429,1.9,742000747,Profitable
14,2017,Guardians of the Galaxy Vol 2,Super Hero,389813101,479300000,869113101,398504578,1.23,479300000,Profitable
15,2022,The Batman,Super Hero,369345583,398814415,768159998,369345583,1.08,398814415,Profitable
16,2016,Deadpool,Super Hero,363070709,418876982,781947691,384896922,1.15,418876982,Profitable
17,2022,Jurassic World: Dominion,Science Fiction,360576310,540976656,901552966,360576310,1.5,540976656,Profitable
18,2015,Furious 7,Contemporary Fiction,353007020,1161546466,1514553486,383994584,3.29,1161546466,Profitable
19,2018,Aquaman,Super Hero,335061807,808696893,1143758700,336521320,2.41,808696893,Profitable
20,2017,Spider-Man: Homecoming,Super Hero,334201140,544145300,878346440,341652669,1.63,544145300,Profitable
21,2016,Batman v Superman: Dawn of Justice,Super Hero,330360194,542034897,872395091,350219998,1.64,542034897,Profitable
22,2016,Suicide Squad,Super Hero,325100054,420644926,745744980,344643639,1.29,420644926,Profitable
23,2018,Deadpool 2,Super Hero,324591735,461770635,786362370,326729117,1.42,461770635,Profitable
24,2017,Thor: Ragnarok,Super Hero,315058289,535424489,850482778,322022771,1.7,535424489,Profitable
25,2022,Thor: Love and Thunder,Super Hero,239240969,264595283,503836252,239240969,1.11,264595283,Profitable
26,2016,Doctor Strange,Super Hero,232641920,443712561,676354481,246531479,1.91,443712561,Profitable
27,2017,Justice League,Super Hero,229024295,426920914,655945209,234076098,1.86,426920914,Profitable
28,2017,Logan,Super Hero,226277068,387925247,614202315,231322264,1.71,387925247,Profitable
29,2017,The Fate of the Furious,Contemporary Fiction,225764765,1010939031,1236703796,230798538,4.48,1010939031,Profitable
30,2021,Shang-Chi and the Legend of the Ten R…,Super Hero,224543292,207700000,432243292,224543296,0.92,207700000,Loss
31,2018,Mission: Impossible—Fallout,Contemporary Fiction,220159104,567017625,787176729,221609107,2.58,567017625,Profitable
32,2018,Ant-Man and the Wasp,Super Hero,216648740,406495920,623144660,218075621,1.88,406495920,Profitable
33,2021,Venom: Let There be Carnage,Super Hero,213550366,288050013,501600379,213550366,1.35,288050013,Profitable
34,2018,Venom,Super Hero,213511408,642569645,856081053,214917171,3.01,642569645,Profitable
35,2020,Bad Boys For Life,Contemporary Fiction,204417855,220119026,424536881,204417855,1.08,220119026,Profitable
36,2015,Spectre,Contemporary Fiction,200074175,679426585,879500760,217554820,3.4,679426585,Profitable
37,2015,Mission: Impossible—Rogue Nation,Contemporary Fiction,195042377,493816615,688858992,212163530,2.53,493816615,Profitable
38,2017,Dunkirk,Dramatization,190068280,327990546,518058826,194279508,1.73,327990546,Profitable
39,2021,Black Widow,Super Hero,183651655,196100000,379751655,183651655,1.07,196100000,Profitable
40,2015,Ant-Man,Super Hero,180202163,338656286,518858449,196020616,1.88,338656286,Profitable
41,2019,Fast & Furious Presents: Hobbs & Shaw,Contemporary Fiction,173956935,586424771,760381706,174146846,3.37,586424771,Profitable
42,2021,F9: The Fast Saga,Contemporary Fiction,173005945,548072000,721077945,173005945,3.17,548072000,Profitable
43,2019,John Wick: Chapter 3 — Parabellum,Contemporary Fiction,171016727,154658268,325674995,171203414,0.9,154658268,Loss
44,2021,Eternals,Super Hero,164870264,237194665,402064929,164870264,1.44,237194665,Profitable
45,2016,Jason Bourne,Contemporary Fiction,162192920,253975396,416168316,171943240,1.57,253975396,Profitable
46,2021,No Time to Die,Contemporary Fiction,160891007,599948654,760839661,160891007,3.73,599948654,Profitable
47,2016,X-Men: Apocalypse,Super Hero,155442489,387095057,542537546,164787000,2.49,387095057,Profitable
48,2015,Mad Max: Fury Road,Science Fiction,153636354,213821520,367457874,166663787,1.39,213821520,Profitable
49,2017,War for the Planet of the Apes,Science Fiction,146880162,342712105,489592267,150155082,2.33,342712105,Profitable
50,2018,The Meg,Science Fiction,145443742,381926973,527370715,146401663,2.63,381926973,Profitable
51,2019,Shazam!,Super Hero,140371656,223292877,363664533,140524904,1.59,223292877,Profitable
52,2018,Ocean’s 8,Contemporary Fiction,140218711,157500000,297718711,141142219,1.12,157500000,Profitable
53,2015,The Divergent Series: Insurgent,Science Fiction,130179072,164896810,295075882,141606414,1.27,164896810,Profitable
54,2017,Transformers: The Last Knight,Science Fiction,130168683,472724657,602893340,133070987,3.63,472724657,Profitable
55,2015,Kingsman: The Secret Service,Contemporary Fiction,128261724,276300000,404561724,139520761,2.15,276300000,Profitable
56,2019,Godzilla: King of the Monsters,Science Fiction,110500138,272799777,383299915,110620773,2.47,272799777,Profitable
57,2021,Dune,Science Fiction,108327830,290024207,398352037,108327830,2.68,290024207,Profitable
58,2016,Independence Day: Resurgence,Science Fiction,103144286,281025138,384169424,109344859,2.72,281025138,Profitable
59,2018,The Equalizer 2,Contemporary Fiction,102084362,88291819,190376181,102756700,0.86,88291819,Loss
60,2018,Rampage,Science Fiction,101028233,326918984,427947217,101693622,3.24,326918984,Profitable
61,2021,Godzilla vs. Kong,Science Fiction,100916094,367148534,468064628,100916098,3.64,367148534,Profitable
62,2017,Kingsman: The Golden Circle,Contemporary Fiction,100234838,308568858,408803696,102469606,3.08,308568858,Profitable
63,2017,John Wick: Chapter Two,Contemporary Fiction,92029184,79288087,171317271,94081110,0.86,79288087,Loss
64,2015,Terminator: Genisys,Science Fiction,89760956,342389938,432150894,97640326,3.81,342389938,Profitable
65,2015,Taken 3,Contemporary Fiction,89256424,238400000,327656424,97091511,2.67,238400000,Profitable
66,2019,Alita: Battle Angel,Science Fiction,85838210,316061830,401900040,85931767,3.68,316061830,Profitable
67,2017,Power Rangers,Kids Fiction,85364450,57167102,142531552,87267781,0.67,57167102,Loss
68,2020,Birds of Prey (And the Fantabulous Em…,Super Hero,84158461,117693679,201852140,84158461,1.4,117693679,Profitable
69,2015,Maze Runner: The Scorch Trials,Science Fiction,81697192,228868970,310566162,88866864,2.8,228868970,Profitable
70,2017,The Hitman’s Bodyguard,Contemporary Fiction,75468583,107946600,183415183,77151263,1.43,107946600,Profitable
71,2022,Morbius,Super Hero,73793072,89207017,163000089,73793072,1.21,89207017,Profitable
72,2018,Skyscraper,Contemporary Fiction,68420120,236448841,304868961,68870744,3.46,236448841,Profitable
73,2016,The Divergent Series: Allegiant,Science Fiction,66184051,105838466,172022517,70162742,1.6,105838466,Profitable
74,2019,Dark Phoenix,Super Hero,65845974,180510921,246356895,65917857,2.74,180510921,Profitable
75,2019,Terminator: Dark Fate,Science Fiction,62253077,188119290,250372367,62321035,3.02,188119290,Profitable
76,2018,Pacific Rim: Uprising,Science Fiction,59874525,231055623,290930148,60268871,3.86,231055623,Profitable
77,2016,Jack Reacher: Never Go Back,Contemporary Fiction,58697076,101249413,159946489,62221045,1.72,101249413,Profitable
78,2020,Tenet,Science Fiction,58504105,303946852,362450957,58504105,5.2,303946852,Profitable
79,2018,Tomb Raider,Contemporary Fiction,58250803,215226698,273477501,58634456,3.69,215226698,Profitable
80,2018,Maze Runner: The Death Cure,Science Fiction,58032443,207846093,265878536,58414651,3.58,207846093,Profitable
81,2019,Midway,Dramatization,56846802,69982261,126829063,56908534,1.23,69982261,Profitable
82,2015,Fantastic Four,Super Hero,56117548,111731639,167849187,61043645,1.99,111731639,Profitable
83,2021,The Suicide Squad,Super Hero,55817425,111302807,167120232,55817425,1.99,111302807,Profitable
84,2016,Assassin’s Creed,Science Fiction,54647948,186111734,240759682,57243597,3.41,186111734,Profitable
85,2017,American Made,Dramatization,51342000,84227212,135569212,52486742,1.64,84227212,Profitable
