,Released,primaryTitle,Creative Type,Opening Weekend Theaters,Theatrical Engagements,Opening Weekend,Domestic Box Office,International Box Office,Worldwide Box Office
1,43581,Avengers: Endgame,Super Hero,4662,37780,357115007,858373000,1939427564,2797800564
2,44547,Spider-Man: No Way Home,Super Hero,4336,54839,260138569,804617772,1081688244,1886306016
3,43147,Black Panther,Super Hero,4020,40236,202003951,700059566,636434755,1336494321
4,43217,Avengers: Infinity War,Super Hero,4474,34406,257698183,678815482,1369544272,2048359754
5,42167,Jurassic World,Science Fiction,4274,36528,208806270,652306625,1017673342,1669979967
6,44708,Top Gun: Maverick,Contemporary Fiction,4735,32379,126707459,625565887,602500000,1228065887
7,42125,Avengers: Age of Ultron,Super Hero,4276,30109,191271109,459005868,936311111,1395316979
8,43532,Captain Marvel,Super Hero,4310,34019,153433423,426829839,702897549,1129727388
9,43273,Jurassic World: Fallen Kingdom,Science Fiction,4475,30489,148024610,417719760,890614245,1308334005
10,42888,Wonder Woman,Super Hero,4165,38939,103251471,412563408,405494813,818058221
11,44687,Doctor Strange in the Multiverse of M…,Super Hero,4534,29647,187420998,411245151,543640564,954885715
12,42496,Captain America: Civil War,Super Hero,4226,25150,179139142,408084349,743834172,1151918521
13,43648,Spider-Man: Far From Home,Super Hero,4634,32717,92579212,390532085,742000747,1132532832
14,42860,Guardians of the Galaxy Vol 2,Super Hero,4347,30496,146510104,389813101,479300000,869113101
15,44621,The Batman,Super Hero,4417,30031,134008624,369345583,398814415,768159998
16,42412,Deadpool,Super Hero,3558,29582,132434639,363070709,418876982,781947691
17,44722,Jurassic World: Dominion,Science Fiction,4676,23305,145075625,362551635,550158278,912709913
18,42097,Furious 7,Contemporary Fiction,4003,27788,147163560,353007020,1161546466,1514553486
19,43455,Aquaman,Super Hero,4125,31526,67873522,335061807,808696893,1143758700
20,42923,Spider-Man: Homecoming,Super Hero,4348,34848,117027503,334201140,544145300,878346440
21,42454,Batman v Superman: Dawn of Justice,Super Hero,4242,25005,166007347,330360194,542034897,872395091
22,42587,Suicide Squad,Super Hero,4255,31523,133682248,325100054,420644926,745744980
23,43238,Deadpool 2,Super Hero,4349,30786,125507153,324591735,461770635,786362370
24,43042,Thor: Ragnarok,Super Hero,4080,26570,122744989,315058289,535424489,850482778
25,44750,Thor: Love and Thunder,Super Hero,4375,8750,144165107,254120698,264251998,518372696
26,42678,Doctor Strange,Super Hero,3882,24582,85058311,232641920,443712561,676354481
27,43056,Justice League,Super Hero,4051,22381,93842239,229024295,426920914,655945209
28,42797,Logan,Super Hero,4071,23365,88411916,226277068,387925247,614202315
29,42839,The Fate of the Furious,Contemporary Fiction,4310,24612,98786705,225764765,1010939031,1236703796
30,44442,Shang-Chi and the Legend of the Ten R…,Super Hero,4300,28852,75388688,224543292,207700000,432243292
31,43308,Mission: Impossible—Fallout,Contemporary Fiction,4386,27928,61236534,220159104,567017625,787176729
32,43287,Ant-Man and the Wasp,Super Hero,4206,24732,75812205,216648740,406495920,623144660
33,44470,Venom: Let There be Carnage,Super Hero,4225,33227,90033210,213550366,288050013,501600379
34,43378,Venom,Super Hero,4250,24722,80255756,213511408,642569645,856081053
35,43847,Bad Boys For Life,Contemporary Fiction,3775,27260,62504105,204417855,220119026,424536881
36,42314,Spectre,Contemporary Fiction,3929,23645,70403148,200074175,679426585,879500760
37,42216,Mission: Impossible—Rogue Nation,Contemporary Fiction,3956,27828,55520089,195042377,493816615,688858992
38,42937,Dunkirk,Dramatization,3720,29843,50513488,190068280,327990546,518058826
39,44386,Black Widow,Super Hero,4160,25585,80366312,183651655,196100000,379751655
40,42202,Ant-Man,Super Hero,3856,25916,57225526,180202163,338656286,518858449
41,43679,Fast & Furious Presents: Hobbs & Shaw,Contemporary Fiction,4253,26762,60038950,173956935,586424771,760381706
42,44372,F9: The Fast Saga,Contemporary Fiction,4179,26222,70043165,173005945,548072000,721077945
43,43602,John Wick: Chapter 3 — Parabellum,Contemporary Fiction,3850,23967,56818067,171016727,154658268,325674995
44,44505,Eternals,Super Hero,4090,24370,71297219,164870264,237194665,402064929
45,42580,Jason Bourne,Contemporary Fiction,4026,22794,59215365,162192920,253975396,416168316
46,44477,No Time to Die,Contemporary Fiction,4407,27874,55225007,160891007,599948654,760839661
47,42517,X-Men: Apocalypse,Super Hero,4150,17561,65769562,155442489,387095057,542537546
48,42139,Mad Max: Fury Road,Science Fiction,3702,20865,45428128,153636354,213821520,367457874
49,42930,War for the Planet of the Apes,Science Fiction,4022,22157,56262929,146880162,342712105,489592267
50,43322,The Meg,Science Fiction,4118,26742,45402195,145443742,381926973,527370715
51,43560,Shazam!,Super Hero,4217,21838,53505326,140371656,223292877,363664533
52,43259,Ocean’s 8,Contemporary Fiction,4145,22362,41607378,140218711,157500000,297718711
53,42083,The Divergent Series: Insurgent,Science Fiction,3875,22954,52263680,130179072,164896810,295075882
54,42907,Transformers: The Last Knight,Science Fiction,4069,16129,44680073,130168683,472724657,602893340
55,42048,Kingsman: The Secret Service,Contemporary Fiction,3204,24227,36206331,128261724,276300000,404561724
56,43616,Godzilla: King of the Monsters,Science Fiction,4108,17244,47776293,110500138,272799777,383299915
57,44491,Dune,Science Fiction,4125,24445,41011174,108327830,290024207,398352037
58,42545,Independence Day: Resurgence,Science Fiction,4068,15489,41039944,103144286,281025138,384169424
59,43301,The Equalizer 2,Contemporary Fiction,3388,18066,36011640,102084362,88291819,190376181
60,43203,Rampage,Science Fiction,4101,21557,35753093,101028233,326918984,427947217
61,44286,Godzilla vs. Kong,Science Fiction,3064,28241,32200000,100916094,367148534,468064628
62,43000,Kingsman: The Golden Circle,Contemporary Fiction,4003,20465,39023010,100234838,308568858,408803696
63,42776,John Wick: Chapter Two,Contemporary Fiction,3113,15963,30436123,92029184,79288087,171317271
64,42186,Terminator: Genisys,Science Fiction,3758,14033,27018486,89760956,342389938,432150894
65,42013,Taken 3,Contemporary Fiction,3594,16697,39201657,89256424,238400000,327656424
66,43510,Alita: Battle Angel,Science Fiction,3790,18635,28525613,85838210,316061830,401900040
67,42818,Power Rangers,Kids Fiction,3693,15803,40300288,85364450,57167102,142531552
68,43868,Birds of Prey (And the Fantabulous Em…,Super Hero,4236,18348,33010017,84158461,117693679,201852140
69,42265,Maze Runner: The Scorch Trials,Science Fiction,3791,19348,30316510,81697192,228868970,310566162
70,42965,The Hitman’s Bodyguard,Contemporary Fiction,3377,20672,21384504,75468583,107946600,183415183
71,44652,Morbius,Super Hero,4268,18394,39005895,73793072,89207017,163000089
72,43294,Skyscraper,Contemporary Fiction,3782,13761,24905015,68420120,236448841,304868961
73,42447,The Divergent Series: Allegiant,Science Fiction,3740,16464,29027348,66184051,105838466,172022517
74,43623,Dark Phoenix,Super Hero,3721,11844,32828348,65845974,180510921,246356895
75,43770,Terminator: Dark Fate,Science Fiction,4086,13254,29033832,62253077,188119290,250372367
76,43182,Pacific Rim: Uprising,Science Fiction,3708,12723,28116535,59874525,231055623,290930148
77,42664,Jack Reacher: Never Go Back,Contemporary Fiction,3780,15887,22872490,58697076,101249413,159946489
78,44077,Tenet,Science Fiction,2810,28603,20001852,58504105,303946852,362450957
79,43175,Tomb Raider,Contemporary Fiction,3854,13692,23633317,58250803,215226698,273477501
80,43126,Maze Runner: The Death Cure,Science Fiction,3787,14684,24167011,58032443,207846093,265878536
81,43777,Midway,Dramatization,3242,15920,17897419,56846802,69982261,126829063
82,42223,Fantastic Four,Super Hero,3995,14869,25685737,56117548,111731639,167849187
83,44413,The Suicide Squad,Super Hero,4002,16971,26205415,55817425,111302807,167120232
84,42725,Assassin’s Creed,Science Fiction,2970,10601,10278225,54647948,186111734,240759682
85,43007,American Made,Dramatization,3024,14863,16776390,51342000,84227212,135569212
86,43357,The Predator,Science Fiction,4037,13454,24632284,51024708,108462855,159487563
87,43280,Sicario: Day of the Soldado,Contemporary Fiction,3055,10744,19007566,50065850,26280244,76346094
88,43749,Gemini Man,Science Fiction,3642,13042,20552372,48546770,118076935,166623705
89,42482,The Huntsman: Winter’s War,Fantasy,3791,14940,19445035,48003015,117146287,165149302
90,42041,Jupiter Ascending,Science Fiction,3885,13791,18372372,47482519,134500000,181982519
