Release Date,WW Release Date,Release Year,WW Release Year,Diverse Cast,Gender Lead,primaryTitle,Theatrical Distributor,Source,Production Method,Creative Type,Production Budget,Breakeven Point,Opening Weekend Theatres,Maximum Theatres,Opening Rev Per Theatre,Opening Weekend Revenue,Adj BO Rev Per Max Theatres,Domestic BO,Infl Adj Dom BO,International BO,Worldwide BO,Profitable
4/26/2019,4/23/2019,2019,2019,Yes,Ensemble,Avengers: Endgame,Walt Disney,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,400000000,800000000,4662,4662,76601,357115007,184322,858373000,859310090,1939427564,2797800564,Highly Profitable
12/17/2021,12/14/2021,2021,2021,Yes,Male,Spider-Man: No Way Home,Sony Pictures,Based on Comic/Graphic Novel,Live Action,Super Hero,200000000,400000000,4336,4336,59995,260138569,185567,804617772,804617772,1081688244,1886306016,Highly Profitable
2/16/2018,2/13/2018,2018,2018,Yes,Male,Black Panther,Walt Disney,Based on Comic/Graphic Novel,Live Action,Super Hero,200000000,400000000,4020,4084,50250,202003951,172544,700059566,704670273,636434755,1336494321,Highly Profitable
4/27/2018,4/25/2018,2018,2018,Yes,Ensemble,Avengers: Infinity War,Walt Disney,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,300000000,600000000,4474,4474,57599,257698183,152724,678815482,683286273,1369544272,2048359754,Highly Profitable
5/4/2012,4/25/2012,2012,2012,Yes,Ensemble,The Avengers,Walt Disney,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,225000000,450000000,4349,4349,47698,207438708,165122,623357910,718114575,891742301,1515100211,Highly Profitable
7/18/2008,7/11/2008,2008,2008,No,Male,The Dark Knight,Warner Bros.,Based on Comic/Graphic Novel,Live Action,Super Hero,185000000,370000000,4366,4366,36283,158411483,155987,533720947,681038991,464894842,998615789,Highly Profitable
5/1/2015,4/22/2015,2015,2015,Yes,Ensemble,Avengers: Age of Ultron,Walt Disney,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,365000000,730000000,4276,4276,44731,191271109,116768,459005868,499298192,936311111,1395316979,Profitable
7/20/2012,7/19/2012,2012,2012,No,Male,The Dark Knight Rises,Warner Bros.,Based on Comic/Graphic Novel,Live Action,Super Hero,230000000,460000000,4404,4404,36532,160887295,117225,448139099,516260739,634089008,1082228107,Highly Profitable
3/8/2019,3/6/2019,2019,2019,Yes,Female,Captain Marvel,Walt Disney,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,175000000,350000000,4310,4310,35599,153433423,99141,426829839,427295810,702897549,1129727388,Highly Profitable
6/2/2017,5/29/2017,2017,2017,Yes,Female,Wonder Woman,Warner Bros.,Based on Comic/Graphic Novel,Live Action,Super Hero,150000000,300000000,4165,4165,24790,103251471,101263,412563408,421762146,405494813,818058221,Highly Profitable
5/6/2022,5/4/2022,2022,2022,Yes,Male,Doctor Strange in the Multiverse of M…,Walt Disney,Based on Comic/Graphic Novel,Live Action,Super Hero,200000000,400000000,4534,4534,41337,187420998,90659,411045982,411045982,536316936,947362918,Highly Profitable
5/3/2013,4/24/2013,2013,2013,No,Male,Iron Man 3,Walt Disney,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,200000000,400000000,4253,4253,40946,174144585,108467,408992272,461311082,806400000,1215392272,Highly Profitable
5/6/2016,4/22/2016,2016,2016,Yes,Male,Captain America: Civil War,Walt Disney,Based on Comic/Graphic Novel,Live Action,Super Hero,250000000,500000000,4226,4226,42390,179139142,102370,408084349,432616584,743834172,1151918521,Highly Profitable
7/2/2019,6/27/2019,2019,2019,Yes,Male,Spider-Man: Far From Home,Sony Pictures,Based on Comic/Graphic Novel,Live Action,Super Hero,160000000,320000000,4634,4634,19978,92579212,84367,390532085,390958429,742000747,1132532832,Highly Profitable
5/5/2017,4/28/2017,2017,2017,Yes,Ensemble,Guardians of the Galaxy Vol 2,Walt Disney,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,200000000,400000000,4347,4347,33704,146510104,91673,389813101,398504578,479300000,869113101,Highly Profitable
3/1/2022,3/1/2022,2022,2022,Yes,Male,The Batman,Warner Bros.,Based on Comic/Graphic Novel,Live Action,Super Hero,200000000,400000000,4417,4417,30339,134008624,83619,369345583,369345583,398814415,768159998,Profitable
2/12/2016,2/9/2016,2016,2016,No,Male,Deadpool,20th Century Fox,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,58000000,116000000,3558,3856,37222,132434639,99818,363070709,384896922,418876982,781947691,Highly Profitable
5/4/2007,5/4/2007,2007,2007,No,Male,Spider-Man 3,Sony Pictures,Based on Comic/Graphic Novel,Live Action,Super Hero,258000000,516000000,4252,4324,35540,151116516,103734,336530303,448544021,558329927,894860230,Profitable
12/21/2018,12/6/2018,2018,2018,No,Male,Aquaman,Warner Bros.,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,160000000,320000000,4125,4184,16454,67873522,80431,335061807,336521320,808696893,1143758700,Highly Profitable
7/7/2017,7/5/2017,2017,2017,Yes,Male,Spider-Man: Homecoming,Sony Pictures,Based on Comic/Graphic Novel,Live Action,Super Hero,175000000,350000000,4348,4348,26915,117027503,78577,334201140,341652669,544145300,878346440,Highly Profitable
