tconst,startYear,primaryTitle,Creative Type,Production Budget,Domestic Box Office,International Box Office,Worldwide Box Office,ROI,PROI 
1,7/10/2015,Baahubali: The Beginning,Historical Fiction,"$40,000,000 ","$6,738,000 ","$19,998,665 ","$26,736,665 ","($13,263,335)",(0.33)
2,5/15/2015,Mad Max: Fury Road,Science Fiction,"$150,000,000 ","$153,636,354 ","$213,821,520 ","$367,457,874 ","$217,457,874 ",1.45 
3,8/14/2015,The Man From U.N.C.L.E.,Historical Fiction,"$75,000,000 ","$45,445,109 ","$63,072,626 ","$108,517,735 ","$33,517,735 ",0.45 
4,9/4/2015,Tian jiang xiong shi,Historical Fiction,"$65,000,000 ","$74,070 ","$122,445,804 ","$122,519,874 ","$57,519,874 ",0.88 
5,12/25/2015,Point Break,Contemporary Fiction,"$100,000,000 ","$28,782,481 ","$97,922,110 ","$126,704,591 ","$26,704,591 ",0.27 
6,5/1/2015,Avengers: Age of Ultron,Super Hero,"$365,000,000 ","$459,005,868 ","$936,311,111 ","$1,395,316,979 ","$1,030,316,979 ",2.82 
8,10/23/2015,The Last Witch Hunter,Fantasy,"$80,000,000 ","$27,367,660 ","$103,451,252 ","$130,818,912 ","$50,818,912 ",0.64 
10,11/6/2015,Spectre,Contemporary Fiction,"$300,000,000 ","$200,074,175 ","$679,426,585 ","$879,500,760 ","$579,500,760 ",1.93 
13,7/17/2015,Bajrangi Bhaijaan,Contemporary Fiction,"$13,000,000 ","$8,178,001 ","$113,600,346 ","$121,778,347 ","$108,778,347 ",8.37 
17,3/13/2015,Run All Night,Contemporary Fiction,"$50,000,000 ","$26,461,644 ","$45,100,000 ","$71,561,644 ","$21,561,644 ",0.43 
20,1/30/2015,Wild Card,Contemporary Fiction,"$30,000,000 ","$3,200 ","$4,312,589 ","$4,315,789 ","($25,684,211)",(0.86)
21,8/21/2015,Hitman: Agent 47,Contemporary Fiction,"$35,000,000 ","$22,467,450 ","$59,715,353 ","$82,182,803 ","$47,182,803 ",1.35 
22,8/7/2015,Fantastic Four,Super Hero,"$120,000,000 ","$56,117,548 ","$111,731,639 ","$167,849,187 ","$47,849,187 ",0.40 
